Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-31 00:00:00-04:00,13.0,13.0,8.5,8.631999969482422,15300,0.0,0.0
2024-06-03 00:00:00-04:00,8.25,8.25,7.5,8.0,15600,0.0,0.0
2024-06-04 00:00:00-04:00,8.0,8.0,7.5,7.989999771118164,13100,0.0,0.0
2024-06-05 00:00:00-04:00,7.989999771118164,7.989999771118164,6.10699987411499,6.75,14500,0.0,0.0
2024-06-06 00:00:00-04:00,6.5,6.5,5.599999904632568,6.204999923706055,8100,0.0,0.0
2024-06-07 00:00:00-04:00,6.5,7.449999809265137,6.050000190734863,7.070000171661377,14300,0.0,0.0
2024-06-10 00:00:00-04:00,7.400000095367432,8.15999984741211,6.980000019073486,7.75,20000,0.0,0.0
2024-06-11 00:00:00-04:00,7.230000019073486,7.449999809265137,7.0,7.449999809265137,4100,0.0,0.0
2024-06-12 00:00:00-04:00,6.760000228881836,7.03000020980835,6.099999904632568,6.796999931335449,13000,0.0,0.0
2024-06-13 00:00:00-04:00,7.28000020980835,7.409999847412109,6.510000228881836,6.651000022888184,6400,0.0,0.0
2024-06-14 00:00:00-04:00,6.599999904632568,6.699999809265137,6.199999809265137,6.5,2500,0.0,0.0
2024-06-17 00:00:00-04:00,6.820000171661377,6.820000171661377,6.440000057220459,6.440000057220459,3900,0.0,0.0
2024-06-18 00:00:00-04:00,6.789999961853027,6.789999961853027,5.839000225067139,6.0,6900,0.0,0.0
2024-06-20 00:00:00-04:00,5.940000057220459,6.436999797821045,5.940000057220459,6.436999797821045,3400,0.0,0.0
2024-06-21 00:00:00-04:00,5.800000190734863,6.199999809265137,5.360000133514404,5.910999774932861,2700,0.0,0.0
