Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-13 00:00:00-04:00,9.880000114440918,9.880000114440918,7.5,8.609999656677246,91700,0.0,0.0
2024-08-14 00:00:00-04:00,8.619999885559082,9.449999809265137,8.609999656677246,9.149999618530273,59100,0.0,0.0
2024-08-15 00:00:00-04:00,9.899999618530273,10.161999702453613,7.329999923706055,8.897000312805176,49600,0.0,0.0
2024-08-16 00:00:00-04:00,8.899999618530273,9.210000038146973,8.0600004196167,8.699999809265137,41600,0.0,0.0
2024-08-19 00:00:00-04:00,8.9399995803833,9.0,8.0600004196167,8.789999961853027,36300,0.0,0.0
2024-08-20 00:00:00-04:00,8.989999771118164,8.989999771118164,7.96999979019165,8.460000038146973,31200,0.0,0.0
2024-08-21 00:00:00-04:00,8.949999809265137,8.949999809265137,8.333999633789062,8.600000381469727,21700,0.0,0.0
2024-08-22 00:00:00-04:00,8.369999885559082,8.779999732971191,8.050000190734863,8.050000190734863,32500,0.0,0.0
2024-08-23 00:00:00-04:00,8.0,8.149999618530273,8.0,8.079999923706055,10100,0.0,0.0
2024-08-26 00:00:00-04:00,7.982999801635742,8.5,7.960000038146973,7.960000038146973,185400,0.0,0.0
2024-08-27 00:00:00-04:00,8.029999732971191,8.199999809265137,8.029999732971191,8.050000190734863,14100,0.0,0.0
2024-08-28 00:00:00-04:00,8.0600004196167,8.199999809265137,7.980000019073486,7.980000019073486,27600,0.0,0.0
2024-08-29 00:00:00-04:00,7.96999979019165,8.170000076293945,7.909999847412109,8.130000114440918,11700,0.0,0.0
2024-08-30 00:00:00-04:00,8.100000381469727,8.25,8.0,8.050000190734863,38400,0.0,0.0
2024-09-03 00:00:00-04:00,8.199999809265137,8.199999809265137,8.0,8.010000228881836,5700,0.0,0.0
2024-09-04 00:00:00-04:00,8.100000381469727,8.270000457763672,8.050000190734863,8.194999694824219,23200,0.0,0.0
2024-09-05 00:00:00-04:00,8.180000305175781,8.239999771118164,8.039999961853027,8.149999618530273,9500,0.0,0.0
2024-09-06 00:00:00-04:00,8.072999954223633,8.199999809265137,7.955999851226807,8.149999618530273,27200,0.0,0.0
