Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-03-02 00:00:00-05:00,56.0,60.0,56.0,60.0,650,0.0,0.0
2012-03-05 00:00:00-05:00,45.0,60.0,45.0,60.0,775,0.0,0.0
2012-03-06 00:00:00-05:00,60.0,60.0,59.400001525878906,59.400001525878906,550,0.0,0.0
2012-03-07 00:00:00-05:00,60.0,60.0,45.0,60.0,635,0.0,0.0
2012-03-08 00:00:00-05:00,60.0,60.0,59.400001525878906,59.400001525878906,920,0.0,0.0
2012-03-09 00:00:00-05:00,60.0,60.0,59.599998474121094,59.599998474121094,1050,0.0,0.0
2012-03-12 00:00:00-04:00,60.0,60.0,59.599998474121094,59.599998474121094,500,0.0,0.0
2012-03-13 00:00:00-04:00,60.0,60.0,59.599998474121094,59.599998474121094,650,0.0,0.0
2012-03-14 00:00:00-04:00,60.0,60.0,59.599998474121094,59.599998474121094,600,0.0,0.0
2012-03-15 00:00:00-04:00,60.0,60.0,59.400001525878906,59.400001525878906,350,0.0,0.0
2012-03-16 00:00:00-04:00,60.0,60.0,59.400001525878906,59.400001525878906,500,0.0,0.0
2012-03-19 00:00:00-04:00,60.0,60.0,55.0,59.599998474121094,570,0.0,0.0
2012-03-20 00:00:00-04:00,60.0,60.0,60.0,60.0,250,0.0,0.0
2012-03-21 00:00:00-04:00,60.0,60.0,59.599998474121094,59.599998474121094,555,0.0,0.0
2012-03-22 00:00:00-04:00,59.599998474121094,59.599998474121094,59.599998474121094,59.599998474121094,0,0.0,0.0
2012-03-23 00:00:00-04:00,59.599998474121094,59.599998474121094,59.599998474121094,59.599998474121094,0,0.0,0.0
2012-03-26 00:00:00-04:00,60.0,60.0,60.0,60.0,30,0.0,0.0
2012-03-27 00:00:00-04:00,60.0,60.0,60.0,60.0,0,0.0,0.0
2012-03-28 00:00:00-04:00,60.0,60.0,60.0,60.0,0,0.0,0.0
2012-03-29 00:00:00-04:00,60.0,60.0,60.0,60.0,5,0.0,0.0
2012-03-30 00:00:00-04:00,60.0,60.0,60.0,60.0,0,0.0,0.0
2012-04-02 00:00:00-04:00,60.0,60.0,60.0,60.0,0,0.0,0.0
2012-04-03 00:00:00-04:00,60.0,60.0,60.0,60.0,0,0.0,0.0
2012-04-04 00:00:00-04:00,55.20000076293945,55.20000076293945,55.20000076293945,55.20000076293945,5,0.0,0.0
2012-04-05 00:00:00-04:00,55.20000076293945,55.20000076293945,55.20000076293945,55.20000076293945,0,0.0,0.0
2012-04-09 00:00:00-04:00,55.20000076293945,55.20000076293945,55.20000076293945,55.20000076293945,0,0.0,0.0
2012-04-10 00:00:00-04:00,55.20000076293945,55.20000076293945,55.20000076293945,55.20000076293945,0,0.0,0.0
2012-04-11 00:00:00-04:00,55.20000076293945,55.20000076293945,55.20000076293945,55.20000076293945,0,0.0,0.0
2012-04-12 00:00:00-04:00,55.0,55.0,55.0,55.0,215,0.0,0.0
2012-04-13 00:00:00-04:00,60.0,60.599998474121094,60.0,60.599998474121094,275,0.0,0.0
2012-04-16 00:00:00-04:00,60.0,63.599998474121094,60.0,63.0,250,0.0,0.0
2012-04-17 00:00:00-04:00,63.0,63.0,63.0,63.0,0,0.0,0.0
2012-04-18 00:00:00-04:00,63.599998474121094,63.599998474121094,63.20000076293945,63.20000076293945,300,0.0,0.0
2012-04-19 00:00:00-04:00,64.19999694824219,65.0,63.599998474121094,65.0,275,0.0,0.0
2012-04-20 00:00:00-04:00,65.0,65.0,65.0,65.0,0,0.0,0.0
2012-04-23 00:00:00-04:00,65.0,65.0,65.0,65.0,0,0.0,0.0
2012-04-24 00:00:00-04:00,65.0,67.0,65.0,66.4000015258789,275,0.0,0.0
2012-04-25 00:00:00-04:00,67.0,68.5999984741211,66.5999984741211,68.0,400,0.0,0.0
2012-04-26 00:00:00-04:00,68.5999984741211,68.5999984741211,68.0,68.0,200,0.0,0.0
2012-04-27 00:00:00-04:00,69.0,70.0,69.0,69.0,700,0.0,0.0
2012-04-30 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-01 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-02 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-03 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-04 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-07 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-08 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-09 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-10 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-11 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-14 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-15 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-16 00:00:00-04:00,69.0,69.0,69.0,69.0,0,0.0,0.0
2012-05-17 00:00:00-04:00,70.0,70.0,70.0,70.0,25,0.0,0.0
2012-05-18 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-05-21 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-05-22 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-05-23 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-05-24 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-05-25 00:00:00-04:00,70.0,70.0,70.0,70.0,25,0.0,0.0
2012-05-29 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-05-30 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-05-31 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-06-01 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
2012-06-04 00:00:00-04:00,70.0,70.0,70.0,70.0,0,0.0,0.0
